wl,n cold,k cold,n hot,k hot
14.9,1.71,2.64,9.32,7.51
15,1.81,2.7,9.37,7.53
15.1,1.92,2.76,9.41,7.54
15.2,2.04,2.81,9.46,7.56
15.3,2.17,2.84,9.5,7.57
15.4,2.31,2.85,9.55,7.59
15.5,2.45,2.84,9.59,7.6
15.6,2.59,2.81,9.64,7.61
15.7,2.7,2.76,9.68,7.62
15.8,2.79,2.71,9.72,7.63
15.9,2.88,2.68,9.77,7.64
16,2.97,2.66,9.81,7.65
16.1,3.1,2.64,9.85,7.66
16.2,3.26,2.59,9.89,7.67
16.3,3.44,2.48,9.93,7.68
16.4,3.59,2.31,9.97,7.68
16.5,3.68,2.09,10.01,7.69
16.6,3.7,1.86,10.05,7.7
16.7,3.67,1.65,10.09,7.7
16.8,3.59,1.47,10.13,7.71
16.9,3.49,1.33,10.17,7.71
17,3.39,1.22,10.2,7.72
17.1,3.28,1.14,10.24,7.72
17.2,3.18,1.07,10.28,7.73
17.3,3.07,1.03,10.31,7.73
17.4,2.97,0.99,10.35,7.73
17.5,2.87,0.97,10.38,7.73
17.6,2.77,0.96,10.42,7.74
17.7,2.67,0.96,10.45,7.74
17.8,2.57,0.97,10.48,7.74
17.9,2.47,0.99,10.51,7.74
18,2.38,1.02,10.55,7.74
18.1,2.29,1.07,10.58,7.74
18.2,2.2,1.13,10.61,7.74
18.3,2.11,1.21,10.64,7.75
18.4,2.05,1.31,10.67,7.75
18.5,1.99,1.43,10.7,7.75
18.6,1.97,1.57,10.73,7.75
18.7,1.99,1.72,10.75,7.75
18.8,2.05,1.86,10.78,7.75
18.9,2.15,1.98,10.81,7.75
19,2.28,2.06,10.84,7.75
19.1,2.41,2.09,10.86,7.75
19.2,2.54,2.09,10.89,7.75
19.3,2.65,2.08,10.91,7.75
19.4,2.76,2.04,10.94,7.75
19.5,2.87,1.98,10.96,7.75
19.6,2.97,1.89,10.99,7.75
19.7,3.04,1.76,11.01,7.75
19.8,3.06,1.63,11.04,7.75
19.9,3.05,1.5,11.06,7.75
20,3,1.38,11.08,7.75
20.1,2.93,1.29,11.1,7.75
20.2,2.85,1.21,11.12,7.75
20.3,2.76,1.16,11.15,7.75
20.4,2.67,1.13,11.17,7.75
20.5,2.58,1.12,11.19,7.75
20.6,2.5,1.12,11.21,7.75
20.7,2.42,1.14,11.23,7.75
20.8,2.36,1.17,11.25,7.75
20.9,2.3,1.21,11.27,7.75
21,2.27,1.25,11.29,7.75
21.1,2.25,1.29,11.3,7.75
21.2,2.25,1.31,11.32,7.75
21.3,2.23,1.31,11.34,7.75
21.4,2.21,1.3,11.36,7.75
21.5,2.17,1.29,11.38,7.75
21.6,2.12,1.28,11.39,7.75
21.7,2.06,1.29,11.41,7.75
21.8,2,1.31,11.43,7.75
21.9,1.93,1.34,11.44,7.76
22,1.87,1.39,11.46,7.76
22.1,1.82,1.44,11.47,7.76
22.2,1.77,1.5,11.49,7.76
22.3,1.73,1.56,11.51,7.76
22.4,1.7,1.63,11.52,7.76
22.5,1.68,1.7,11.54,7.77
22.6,1.67,1.78,11.55,7.77
22.7,1.66,1.85,11.57,7.77
22.8,1.66,1.92,11.58,7.77
22.9,1.67,1.99,11.59,7.78
23,1.69,2.06,11.61,7.78
23.1,1.72,2.13,11.62,7.78
23.2,1.75,2.19,11.64,7.78
23.3,1.79,2.24,11.65,7.79
23.4,1.83,2.29,11.66,7.79
23.5,1.88,2.33,11.68,7.79
23.6,1.93,2.36,11.69,7.8
23.7,1.98,2.39,11.7,7.8
23.8,2.03,2.4,11.71,7.8
23.9,2.09,2.41,11.73,7.81
24,2.14,2.4,11.74,7.81
24.1,2.18,2.39,11.75,7.82
24.2,2.22,2.37,11.76,7.82
24.3,2.25,2.34,11.77,7.82
24.4,2.27,2.31,11.79,7.83
24.5,2.29,2.28,11.8,7.83
24.6,2.29,2.25,11.81,7.84
24.7,2.29,2.21,11.82,7.84
24.8,2.27,2.18,11.83,7.85
24.9,2.25,2.15,11.84,7.85
25,2.23,2.13,11.85,7.86
25.1,2.19,2.11,11.87,7.86
25.2,2.16,2.1,11.88,7.87
25.3,2.12,2.09,11.89,7.87
25.4,2.07,2.09,11.9,7.88
25.5,2.02,2.1,11.91,7.88
25.6,1.98,2.11,11.92,7.89
25.7,1.93,2.13,11.93,7.9
25.8,1.88,2.15,11.94,7.9
25.9,1.84,2.19,11.95,7.91
26,1.79,2.22,11.96,7.91
26.1,1.75,2.26,11.97,7.92
26.2,1.72,2.31,11.98,7.93
26.3,1.68,2.36,11.99,7.93
26.4,1.65,2.41,12,7.94
26.5,1.62,2.47,12.01,7.95
26.6,1.6,2.53,12.02,7.95
26.7,1.57,2.59,12.03,7.96
26.8,1.56,2.66,12.04,7.97
26.9,1.54,2.72,12.05,7.97
27,1.53,2.79,12.06,7.98
27.1,1.53,2.86,12.07,7.99
27.2,1.52,2.93,12.08,8
27.3,1.52,3,12.09,8
27.4,1.53,3.08,12.1,8.01
27.5,1.54,3.15,12.11,8.02
27.6,1.55,3.22,12.11,8.03
27.7,1.56,3.3,12.12,8.03
27.8,1.58,3.37,12.13,8.04
27.9,1.6,3.45,12.14,8.05
28,1.62,3.52,12.15,8.06
28.1,1.65,3.6,12.16,8.07
28.2,1.68,3.67,12.17,8.07
28.3,1.72,3.75,12.18,8.08
28.4,1.76,3.82,12.19,8.09
28.5,1.8,3.9,12.2,8.1
28.6,1.85,3.98,12.21,8.11
28.7,1.9,4.05,12.21,8.12
28.8,1.95,4.13,12.22,8.12
28.9,2.01,4.2,12.23,8.13
29,2.08,4.27,12.24,8.14
29.1,2.15,4.35,12.25,8.15
29.2,2.22,4.42,12.26,8.16
29.3,2.3,4.48,12.27,8.17
29.4,2.39,4.55,12.28,8.18
29.5,2.48,4.62,12.28,8.19
29.6,2.58,4.68,12.29,8.2
29.7,2.68,4.73,12.3,8.2
29.8,2.79,4.78,12.31,8.21
29.9,2.91,4.83,12.32,8.22
30,3.03,4.87,12.33,8.23
